지점,일시,최저기온(°C),평균기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 이슬점온도(°C),평균 상대습도(%),평균 현지기압(hPa)
131,2000-01-01,-0.8,4.9,11.7,0.0,0.8,0.4,74.0,1017.6
131,2000-01-02,1.8,5.1,8.2,2.0,1.5,1.7,78.8,1010.3
131,2000-01-03,-2.7,0.4,3.5,0.0,1.8,-6.8,60.8,1015.7
131,2000-01-04,-4.5,0.3,4.8,0.0,0.7,-6.2,63.5,1017.6
131,2000-01-05,1.3,3.9,6.3,13.0,1.1,1.4,85.5,1011.3
131,2000-01-06,-0.1,4.6,7.6,12.0,2.6,1.5,80.5,1008.9
131,2000-01-07,-9.2,-5.2,0.0,0.5,1.8,-12.2,62.4,1017.1
131,2000-01-08,-7.1,-1.6,3.6,0.2,1.2,-5.5,76.1,1017.0
131,2000-01-09,-4.5,-1.6,0.6,0.0,0.7,-5.6,74.6,1015.5
131,2000-01-10,-2.7,0.6,4.3,0.0,1.5,-6.7,59.6,1018.4
131,2000-01-11,-6.5,0.9,7.8,0.0,0.9,-4.9,68.0,1019.4
131,2000-01-12,2.9,5.6,8.2,1.9,0.6,2.7,81.8,1011.8
131,2000-01-13,0.7,2.8,5.2,2.5,2.0,0.3,84.4,1009.6
131,2000-01-14,-0.3,1.0,2.7,0.0,1.8,-4.3,68.5,1015.6
131,2000-01-15,-3.6,-0.1,4.2,0.0,1.3,-4.5,73.5,1018.2
131,2000-01-16,-1.4,1.3,6.9,0.0,0.9,-4.5,67.4,1015.6
131,2000-01-17,-4.6,-1.3,3.1,0.0,0.5,-5.1,77.5,1014.4
131,2000-01-18,-6.7,-2.1,3.2,0.0,1.0,-8.0,67.3,1014.6
131,2000-01-19,-7.5,-4.0,-1.2,1.7,2.4,-7.1,79.1,1014.6
131,2000-01-20,-9.4,-7.2,-4.2,0.3,2.6,-14.0,59.6,1025.2
131,2000-01-21,-13.5,-7.6,-2.0,0.0,1.2,-15.4,56.4,1031.6
131,2000-01-22,-10.0,-3.3,1.3,1.7,0.9,-7.5,74.9,1023.6
131,2000-01-23,-0.6,1.3,3.8,2.5,1.2,0.2,92.1,1016.8
131,2000-01-24,-3.6,-0.9,1.8,0.0,2.4,-6.2,67.6,1022.1
131,2000-01-25,-8.9,-5.7,-1.5,0.0,2.6,-14.9,49.6,1024.0
131,2000-01-26,-10.5,-7.3,-2.4,0.0,2.0,-14.5,57.6,1023.4
131,2000-01-27,-12.3,-6.4,0.1,0.0,1.2,-13.0,62.5,1025.3
131,2000-01-28,-11.6,-4.3,3.0,0.0,0.8,-10.2,66.9,1026.6
131,2000-01-29,-7.1,-1.6,3.2,0.0,0.9,-5.9,73.6,1025.5
131,2000-01-30,-7.1,-2.9,-0.1,0.4,3.3,-8.0,68.6,1026.9
131,2000-01-31,-9.5,-7.2,-2.8,0.0,2.0,-14.5,57.1,1029.8
131,2000-02-01,-12.8,-6.6,-1.2,0.0,1.1,-12.5,66.0,1025.9
131,2000-02-02,-8.6,-3.6,2.0,0.0,1.4,-8.9,69.0,1024.0
131,2000-02-03,-7.5,-2.6,2.7,0.0,1.1,-6.4,76.4,1021.3
131,2000-02-04,-7.6,-2.0,3.4,0.0,0.9,-9.4,61.1,1023.0
131,2000-02-05,-7.8,-0.9,4.2,0.0,0.5,-6.7,67.1,1017.9
131,2000-02-06,-1.8,0.5,4.2,0.5,1.8,-2.3,82.1,1013.3
131,2000-02-07,-4.9,-1.7,1.8,0.3,1.4,-3.7,86.3,1009.2
131,2000-02-08,-7.4,-6.2,-4.2,0.1,3.0,-12.3,62.6,1010.8
131,2000-02-09,-8.4,-4.7,0.8,0.0,1.5,-12.2,58.4,1016.1
131,2000-02-10,-11.1,-3.4,3.4,0.0,0.9,-9.5,65.6,1014.6
131,2000-02-11,-3.9,0.5,5.9,0.0,1.2,-5.0,67.8,1013.1
131,2000-02-12,-5.8,0.4,6.4,0.0,0.6,-3.9,74.5,1013.0
131,2000-02-13,-4.1,0.7,6.4,0.0,0.7,-3.5,76.4,1011.9
131,2000-02-14,-3.9,0.1,4.0,0.1,2.5,-7.1,61.1,1008.4
131,2000-02-15,-7.2,-4.2,-0.5,0.0,3.1,-13.9,46.9,1012.3
131,2000-02-16,-7.9,-3.5,1.4,0.0,2.4,-12.6,50.5,1014.9
131,2000-02-17,-8.2,-3.7,1.6,0.0,2.0,-14.6,45.4,1019.1
131,2000-02-18,-6.9,-1.4,4.0,0.0,1.4,-13.2,43.1,1018.4
131,2000-02-19,-3.0,1.7,8.0,0.0,1.2,-12.1,38.6,1009.7
131,2000-02-20,-3.1,0.0,5.1,0.0,2.0,-8.0,57.3,1008.6
131,2000-02-21,-6.9,-1.4,3.5,0.0,2.1,-12.2,45.8,1014.8
131,2000-02-22,-5.4,-0.9,4.8,0.0,1.3,-14.0,39.3,1017.0
131,2000-02-23,-5.6,0.6,7.3,0.0,1.4,-8.4,52.0,1016.4
131,2000-02-24,-6.2,-2.6,1.2,0.0,2.5,-15.4,38.4,1020.5
131,2000-02-25,-7.9,-2.4,2.1,0.0,1.2,-14.1,42.9,1017.8
